CO_UF,APROVACAO_ANO_1,APROVACAO_ANO_2,APROVACAO_ANO_3,APROVACAO_ANO_4,APROVACAO_ANO_5,APROVACAO_ANO_6,APROVACAO_ANO_7,APROVACAO_ANO_8,APROVACAO_ANO_9,APROVACAO_MEDIO_1,APROVACAO_MEDIO_2,APROVACAO_MEDIO_3,REPROVACAO_ANO_1,REPROVACAO_ANO_2,REPROVACAO_ANO_3,REPROVACAO_ANO_4,REPROVACAO_ANO_5,REPROVACAO_ANO_6,REPROVACAO_ANO_7,REPROVACAO_ANO_8,REPROVACAO_ANO_9,REPROVACAO_MEDIO_1,REPROVACAO_MEDIO_2,REPROVACAO_MEDIO_3,ABANDONO_ANO_1,ABANDONO_ANO_2,ABANDONO_ANO_3,ABANDONO_ANO_4,ABANDONO_ANO_5,ABANDONO_ANO_6,ABANDONO_ANO_7,ABANDONO_ANO_8,ABANDONO_ANO_9,ABANDONO_MEDIO_1,ABANDONO_MEDIO_2,ABANDONO_MEDIO_3
MG,99.44209766658648,99.24883135562747,98.77122861586314,99.25563792897286,98.88173735431936,97.66981262055663,96.53915263593706,96.56076753175041,96.66524567474049,93.20346420323327,92.52736772267374,95.18730711796914,0.2974260283858552,0.5173558671940549,0.9985644215815289,0.5203395910558413,0.8804637750811006,1.4446679526040231,2.0740822522771185,1.8823302043070127,1.6817439446366782,3.3515176509402838,3.4460938795820204,1.9899950223992038,0.26047630502766417,0.23381277717847299,0.23020696255532958,0.22402247997130217,0.23779887059954344,0.8855194268393497,1.3867651117858129,1.5569022639425734,1.6530103806228373,3.44501814582646,4.026538397744236,2.8226978596316576
MS,99.52175572519084,90.65833333333333,90.007371007371,93.37891705069124,95.4265909090909,93.00459242250287,92.70207373271889,92.5939393939394,92.82420306965763,84.52203389830508,85.84097331240189,89.24231378763866,0.3743002544529262,8.991919191919193,9.663390663390663,6.300576036866359,4.185227272727273,6.493800229621126,6.536751152073732,6.62039627039627,6.381818181818181,13.720955315870569,12.620094191522764,9.497939778129952,0.1039440203562341,0.34974747474747475,0.32923832923832924,0.3205069124423963,0.3881818181818182,0.5016073478760046,0.7611751152073734,0.7856643356643357,0.793978748524203,1.7570107858243451,1.5389324960753532,1.2597464342313787
MT,99.58239675016927,99.47864651773982,98.92462540716612,99.29099216710182,99.23704427083334,97.78524813052346,98.48641043239535,98.35492085340675,94.2767571329158,81.52756892230576,77.35477214101462,80.1732249786142,0.19729180771834798,0.3368593955321945,0.8717915309446255,0.5555483028720627,0.5940755208333334,1.8720598232494903,0.6371310912834591,0.5719201651754989,4.151356993736952,13.510860484544695,15.85116079105761,13.048588537211291,0.22031144211238995,0.1844940867279895,0.20358306188925082,0.15345953002610965,0.1688802083333333,0.34269204622705646,0.876458476321208,1.0731589814177562,1.5718858733472514,4.96157059314954,6.794067067927773,6.778186484174508
PA,98.34157754010695,98.03426666666667,93.24238985313752,93.65591755319149,91.50935633709356,91.37562122229683,89.95577956989248,90.51186783546865,91.61127616475353,74.38909710391823,69.38235294117646,76.62305721605466,0.32827540106951875,0.5721333333333334,4.908611481975968,4.077460106382978,5.870736562707366,4.739758226997985,4.946975806451613,4.2274443695212405,3.5649561107359893,10.256388415672912,10.243393009377664,8.299914602903502,1.3301470588235296,1.3936,1.8489986648865155,2.266622340425532,2.619907100199071,3.884620550705171,5.0972446236559135,5.2606877950101145,4.823767724510466,15.35451448040886,20.374254049445867,15.077028181041845
PB,99.19846692947876,99.02710606721956,98.20722996515678,97.75682511993023,96.63840104849278,96.47305418719212,96.2751343429409,96.4609555984556,97.34345323741007,96.7263500325309,96.31980456026058,97.85676741130092,0.2854577310556286,0.4973810563072894,0.9462543554006968,1.1882250327082424,2.1269986893840103,0.9953201970443349,1.0049829018075231,0.8589285714285715,0.5670983213429257,0.5671437865972674,0.438371335504886,0.24717477003942182,0.5160753394656155,0.4755128764731559,0.8465156794425087,1.054949847361535,1.234600262123198,2.531625615763547,2.719882755251588,2.68011583011583,2.0894484412470025,2.706506180871828,3.2418241042345275,1.8960578186596584
PE,99.05324096981693,98.7443731490622,94.1981216015818,98.00518006906759,95.14604743083004,95.87174459527401,94.51609137055839,95.1651731160896,96.72451678535096,93.11653599429793,92.98779443254817,97.19805335255948,0.47793171697179615,0.8378084896347483,5.33959466139397,1.45416872224963,4.459288537549408,3.2935143288084467,4.213299492385787,3.590529531568228,2.2867243133265513,5.33528153955809,5.058600999286225,1.9304974765681326,0.46882731321128157,0.4178183613030602,0.4622837370242215,0.5406512086827825,0.39466403162055336,0.8347410759175465,1.2706091370558374,1.244297352342159,0.9887589013224822,1.5481824661439771,1.953604568165596,0.8714491708723865
PI,99.06217712177121,99.05242085661081,98.25628187297171,97.67169459962756,97.36593045112782,96.83403766651355,96.4970073664825,96.80689812699862,97.04393037104902,93.53524115755626,92.84864516129032,94.5155183515776,0.30281365313653136,0.3668994413407821,0.9553082985628187,1.3646648044692737,1.4431860902255638,1.2214974735875057,1.241574585635359,1.0392873458200091,0.6918460833715071,0.8794855305466239,0.716516129032258,0.5508692852543464,0.635009225092251,0.5806797020484171,0.7884098284654613,0.9636405959031658,1.1908834586466164,1.9444648598989436,2.2614180478821364,2.1538145271813613,2.264223545579478,5.585273311897106,6.434838709677419,4.933612363168062
PR,98.79547192002353,95.29253819036427,95.18605542452829,97.26535386437666,98.80986374407583,99.12120075046903,98.58838226108682,98.22130788485606,98.31046547953764,96.1831592689295,95.8220123738196,97.4941560561541,1.1612172890326375,4.659224441833137,4.7927771226415095,2.703109268581581,1.1395734597156397,0.6852720450281425,1.1009681449094317,1.352534418022528,1.2260855982505467,2.6760770234986944,2.7180071637902965,1.4883121123081946,0.04331079094384005,0.04823736780258519,0.021167452830188678,0.031536867041753035,0.050562796208530804,0.19352720450281424,0.3106495940037477,0.4261576971214018,0.46344892221180883,1.1407637075718016,1.4599804623901012,1.017531831537708
RJ,97.96896551724137,96.53836734693878,95.87737003058103,96.61383519837233,97.14662576687115,96.8984481086324,96.0351403678606,96.48031189083821,97.32638753651412,93.62502883506343,93.66105383734251,95.98352272727273,1.4433062880324543,2.95734693877551,3.5694189602446484,2.840488301119023,2.3641104294478525,2.392337536372454,3.0688286544046464,2.755750487329435,1.9039922103213243,4.618800461361015,4.471248568155785,2.4725,0.5877281947261663,0.5042857142857142,0.553211009174312,0.545676500508647,0.4892638036809816,0.7092143549951504,0.8960309777347532,0.7639376218323586,0.769620253164557,1.7561707035755478,1.8676975945017182,1.5439772727272727
RN,98.98115702479338,98.79724214009929,98.01918186843561,90.68635616438357,85.8839715536105,85.84001233045623,82.6639778325123,87.21462962962964,89.95686881188118,78.02287985865723,69.2083922261484,77.80670785525155,0.3767493112947658,0.33177054605626033,0.9775566611387507,7.659890410958904,11.684901531728665,9.54315659679408,10.698583743842365,6.465,4.240222772277227,9.046643109540636,10.624204946996466,7.464607237422771,0.6420936639118457,0.8709873138444566,1.0032614704256495,1.6537534246575343,2.431126914660832,4.616831072749692,6.637438423645321,6.32037037037037,5.802908415841584,12.93047703180212,20.167402826855124,14.728684907325682
RO,99.26091081593928,98.77047619047619,97.02894248608534,97.26125461254613,98.26044776119403,97.0051376146789,96.40073529411765,96.37996289424862,96.4285447761194,89.339336492891,89.69407582938389,93.25155875299761,0.17571157495256165,1.0276190476190477,2.693692022263451,2.492066420664207,1.4402985074626866,1.4273394495412843,1.7306985294117647,1.9269016697588124,1.6399253731343284,5.86350710900474,4.831516587677726,2.881534772182254,0.5633776091081594,0.2019047619047619,0.27736549165120594,0.24667896678966794,0.2992537313432836,1.5675229357798166,1.8685661764705883,1.693135435992579,1.9315298507462686,4.797156398104265,5.4744075829383885,3.866906474820144
RR,98.46855345911949,98.92721518987342,98.87658227848101,97.6873417721519,98.08101265822785,96.0525641025641,93.04129032258064,93.9774834437086,92.74144736842106,86.95138888888889,88.56760563380281,91.85138888888889,0.2528301886792453,0.31075949367088607,0.5082278481012658,1.3544303797468353,0.9626582278481012,2.008974358974359,3.315483870967742,2.5450331125827814,2.2401315789473686,5.996527777777778,4.813380281690141,3.173611111111111,1.278616352201258,0.7620253164556963,0.6151898734177216,0.9582278481012658,0.9563291139240506,1.9384615384615382,3.643225806451613,3.4774834437086093,5.018421052631578,7.052083333333333,6.619014084507042,4.975
RS,99.79136468774094,99.66925292874976,97.27314514590883,97.40552065486389,98.11940099198779,97.29019492025989,95.67217425431711,95.36044453186467,96.36458415451321,91.6373074729036,89.09316557048899,93.43638713383113,0.051657671549730146,0.16228154407528328,2.4944306694640472,2.253493241956977,1.5280427317817626,1.9072258318566646,2.5797095761381477,2.2622934697088906,1.1710878990934175,1.053907586993725,0.979468115527595,0.5515221137277427,0.1569776407093292,0.1684655271749568,0.23242418462712186,0.34098610317913575,0.3525562762304464,0.8025792478834417,1.748116169544741,2.377261998426436,2.464327946393378,7.30878494010268,9.927366313983415,6.012090752441125
SC,99.24504967454607,98.05324453551913,97.72168262653899,98.33361745652915,98.64941660947153,93.3641957005189,90.92538860103626,91.13701923076923,92.59152479644708,82.80967289719626,82.914064697609,86.51305164319248,0.6627954779033916,1.854474043715847,2.190287277701778,1.599181725196045,1.280301990391215,6.39570051890289,8.524426350851222,8.0510724852071,6.016173205033309,12.768738317757009,10.259165494608533,5.834835680751174,0.09215484755053101,0.09228142076502732,0.08803009575923391,0.06720081827480395,0.07028140013726836,0.24010378057820606,0.5501850481125092,0.8119082840236687,1.392301998519615,4.42158878504673,6.826769807782466,7.652112676056338
SE,99.29214780600462,99.504833141542,98.02889647326506,97.3337091319053,97.75990990990991,96.91173652694611,95.69342105263158,96.53761904761906,97.26583629893238,96.62787769784173,96.1478417266187,90.96654545454545,0.011085450346420323,0.07698504027617953,1.187599544937429,1.5472378804960543,1.1068693693693694,1.285868263473054,1.4328947368421054,0.9348809523809524,0.5988137603795967,1.2079136690647483,0.7850719424460432,4.628727272727273,0.6967667436489607,0.41818181818181815,0.7835039817974973,1.1190529875986472,1.1332207207207208,1.8023952095808384,2.873684210526316,2.5275,2.1353499406880188,2.164208633093525,3.067086330935252,4.404727272727272
SP,99.74527166760669,99.33125697285236,98.18790412486065,99.3510420543357,99.27404580152673,99.10757604744595,98.79758943944901,98.71374616564418,98.46655800575263,96.93867866639395,95.77115266077666,96.93405305367057,0.16926113931190073,0.6053179620676832,1.7446302489780752,0.5622999627837738,0.6580711226959598,0.562904151520949,0.7438492443083987,0.7648389570552148,0.8704122722914669,1.2879934546942116,1.6510376001643723,0.8383508122558092,0.08546719308140628,0.06342506507995538,0.06746562616127834,0.08665798288053592,0.06788307577732267,0.3295198010330974,0.4585613162425866,0.5214148773006134,0.6630297219558964,1.7733278789118427,2.577809739058969,2.227596134073617
TO,99.61484245439469,99.38426229508197,97.20162866449512,97.64325618515562,97.1451536643026,97.27159183673469,96.98209321340966,96.52442244224423,97.09784768211921,93.43188405797102,94.3068607068607,96.61878914405011,0.24577114427860694,0.4799180327868853,2.6527687296416937,2.1914604948124503,2.5778565799842394,1.8787755102040817,2.0331970564186426,2.0243399339933994,1.4932119205298013,3.322256728778468,2.9596673596673595,1.6481210855949897,0.13938640132669983,0.13581967213114754,0.14560260586319218,0.1652833200319234,0.27698975571316,0.8496326530612245,0.9847097301717089,1.4512376237623763,1.4089403973509933,3.2458592132505175,2.7334719334719333,1.733089770354906
